-7.00E+01,7.91E+05,3.20E+04,2.68E+02,1.20E+05
-7.00E+01,7.43E+05,3.14E+04,2.80E+02,2.57E+05
-7.00E+01,7.76E+05,3.21E+04,2.51E+02,2.54E+05
-6.00E+01,7.95E+05,3.53E+04,3.62E+02,3.56E+05
-6.00E+01,7.75E+05,3.09E+04,3.66E+02,3.10E+05
-6.00E+01,7.92E+05,3.20E+04,3.53E+02,5.93E+05
-4.50E+01,7.55E+05,2.85E+04,2.75E+02,5.87E+05
-4.50E+01,7.80E+05,2.81E+04,2.45E+02,3.27E+05
-4.50E+01,7.42E+05,2.90E+04,2.76E+02,3.29E+05
-3.00E+01,7.20E+05,2.81E+04,3.77E+02,9.01E+05
-3.00E+01,7.14E+05,2.78E+04,2.43E+02,3.90E+05
-3.00E+01,7.40E+05,2.63E+04,1.72E+02,1.43E+05
-1.50E+01,7.15E+05,2.54E+04,2.25E+02,1.98E+05
-1.50E+01,7.28E+05,2.58E+04,2.29E+02,1.62E+05
-1.50E+01,7.30E+05,2.51E+04,1.79E+02,1.68E+05
0.00E+00,6.90E+05,2.55E+04,1.69E+02,4.64E+05
0.00E+00,7.06E+05,2.49E+04,1.33E+02,1.26E+05
0.00E+00,6.74E+05,2.28E+04,2.15E+02,1.86E+05
1.50E+01,7.24E+05,2.63E+04,2.12E+02,1.60E+05
1.50E+01,7.17E+05,2.74E+04,2.43E+02,1.25E+05
1.50E+01,7.15E+05,2.61E+04,1.79E+02,4.50E+05
3.00E+01,7.38E+05,2.70E+04,2.68E+02,1.11E+06
3.00E+01,6.77E+05,2.65E+04,3.36E+02,1.22E+06
3.00E+01,6.97E+05,2.73E+04,3.48E+02,2.90E+05
4.50E+01,7.37E+05,3.08E+04,1.15E+02,1.12E+05
4.50E+01,6.53E+05,2.95E+04,2.29E+02,4.33E+05
4.50E+01,7.36E+05,3.24E+04,1.62E+02,1.20E+05
6.00E+01,7.26E+05,3.26E+04,2.11E+02,4.65E+05
6.00E+01,7.42E+05,3.17E+04,2.09E+02,7.71E+05
6.00E+01,7.14E+05,3.23E+04,1.77E+02,4.03E+05
7.00E+01,7.26E+05,3.24E+04,4.31E+02,5.53E+05
7.00E+01,6.94E+05,3.27E+04,3.43E+02,7.38E+05
7.00E+01,7.14E+05,3.23E+04,3.82E+02,8.49E+05
